region;year;I_L_1;I_L_2;I_L_3;I_L_4;I_L_5;I_B_1;I_B_2;I_B_3;I_B_4;I_B_5
JPN;2110;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9
JPN;2130;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9
JPN;2150;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9
LAM;1965;1;1;1;1;1;1;1;1;1;1
LAM;1970;1;1;1;1;1;1;1;1;1;1
LAM;1975;1;1;1;1;1;1;1;1;1;1
LAM;1980;1;1;1;1;1;1;1;1;1;1
LAM;1985;1;1;1;1;1;1;1;1;1;1
LAM;1990;1;1;1;1;1;1;1;1;1;1
LAM;1995;1;1;1;1;1;1;1;1;1;1
LAM;2000;1;1;1;1;1;1;1;1;1;1
LAM;2005;1;1;1;1;1;1;1;1;1;1
LAM;2010;1;1;1;1;1;1;1;1;1;1
LAM;2015;1;1;1;1;1;1;1;1;1;1
LAM;2020;0.33;0.33;0.33;0.33;0.33;0.33;0.33;0.33;0.33;0.33
LAM;2025;0.6;0.7;0.8;0.8;0.8;0.4;0.6;0.6;0.6;0.7
LAM;2030;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9
LAM;2035;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9
LAM;2040;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9
LAM;2045;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9
LAM;2050;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9
LAM;2055;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9
LAM;2060;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9
LAM;2070;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9
LAM;2080;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9
LAM;2090;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9
LAM;2100;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9
LAM;2110;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9
LAM;2130;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9
LAM;2150;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9
MEA;1965;1;1;1;1;1;1;1;1;1;1
MEA;1970;1;1;1;1;1;1;1;1;1;1
MEA;1975;1;1;1;1;1;1;1;1;1;1
MEA;1980;1;1;1;1;1;1;1;1;1;1
MEA;1985;1;1;1;1;1;1;1;1;1;1
MEA;1990;1;1;1;1;1;1;1;1;1;1
MEA;1995;1;1;1;1;1;1;1;1;1;1
MEA;2000;1;1;1;1;1;1;1;1;1;1
MEA;2005;1;1;1;1;1;1;1;1;1;1
MEA;2010;1;1;1;1;1;1;1;1;1;1
MEA;2015;1;1;1;1;1;1;1;1;1;1
MEA;2020;0.33;0.33;0.33;0.33;0.33;0.33;0.33;0.33;0.33;0.33
MEA;2025;0.6;0.7;0.8;0.8;0.8;0.4;0.6;0.6;0.6;0.7
MEA;2030;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9
MEA;2035;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9
MEA;2040;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9
MEA;2045;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9
MEA;2050;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9
MEA;2055;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9
MEA;2060;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9
MEA;2070;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9
MEA;2080;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9
MEA;2090;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9
MEA;2100;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9
MEA;2110;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9
MEA;2130;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9
MEA;2150;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9
NEU;1965;1;1;1;1;1;1;1;1;1;1
NEU;1970;1;1;1;1;1;1;1;1;1;1
NEU;1975;1;1;1;1;1;1;1;1;1;1
NEU;1980;1;1;1;1;1;1;1;1;1;1
NEU;1985;1;1;1;1;1;1;1;1;1;1
NEU;1990;1;1;1;1;1;1;1;1;1;1
NEU;1995;1;1;1;1;1;1;1;1;1;1
NEU;2000;1;1;1;1;1;1;1;1;1;1
NEU;2005;1;1;1;1;1;1;1;1;1;1
NEU;2010;1;1;1;1;1;1;1;1;1;1
NEU;2015;1;1;1;1;1;1;1;1;1;1
NEU;2020;0.33;0.33;0.33;0.33;0.33;0.33;0.33;0.33;0.33;0.33
NEU;2025;0.6;0.7;0.8;0.8;0.8;0.4;0.6;0.6;0.6;0.7
NEU;2030;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9
NEU;2035;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9
NEU;2040;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9
NEU;2045;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9
NEU;2050;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9
NEU;2055;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9
NEU;2060;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9
NEU;2070;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9
NEU;2080;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9
NEU;2090;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9
NEU;2100;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9
NEU;2110;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9
NEU;2130;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9
NEU;2150;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9
OAS;1965;1;1;1;1;1;1;1;1;1;1
OAS;1970;1;1;1;1;1;1;1;1;1;1
OAS;1975;1;1;1;1;1;1;1;1;1;1
OAS;1980;1;1;1;1;1;1;1;1;1;1
OAS;1985;1;1;1;1;1;1;1;1;1;1
OAS;1990;1;1;1;1;1;1;1;1;1;1
OAS;1995;1;1;1;1;1;1;1;1;1;1
OAS;2000;1;1;1;1;1;1;1;1;1;1
OAS;2005;1;1;1;1;1;1;1;1;1;1
OAS;2010;1;1;1;1;1;1;1;1;1;1
OAS;2015;1;1;1;1;1;1;1;1;1;1
OAS;2020;0.33;0.33;0.33;0.33;0.33;0.33;0.33;0.33;0.33;0.33
OAS;2025;0.6;0.7;0.8;0.8;0.8;0.4;0.6;0.6;0.6;0.7
OAS;2030;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9
OAS;2035;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9
OAS;2040;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9
OAS;2045;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9
OAS;2050;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9
OAS;2055;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9
OAS;2060;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9
